age,gender,familiarity,seen_advertisements,which_kind,impression,ads_description,rate_itc_compared_to_other_brands,ads_effective,buy_itc_products_based_on_advertisements,factors,price_rating,quality_rating,features_rating,brand_value_rating,availability_rating,value_of_money_rating,brand_promotion_rating,experience_with_products_rating,duration_of_use,continue_using_after_increase_in_price,willing_to_recommend,likely_to_make_another_purchase,likely_to_switch_to_another_brand,Unnamed: 24,fam_new,gen_new,rate_new,buy_new,price_new,qualit_new,features_new,brand_value_new,availability_new,value_new,brand_promotions_new,experience_new,duration_new,continue_using_after_increase_in_price_new,willing_to_recommend_new,seen_advertisements_new
21,Male,I use it daily,Yes,"YouTube Ads, Posters",Positive,"Active, Cheerful, Creative, Emotional",Somewhat better,4,Yes,"Price, Quality",Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Very satisfied,1 year - 3 years,No,Yes,4,3,,2,1,2,2,2,2,3,2,2,2,1,2,0,1,2,2
21,Male,Generally aware of the brand,Yes,"TV Commercials, Social Media campaigns, YouTube Ads",Positive,"Active, Attention getting, Genuine, Honest",Much better,4,Yes,"Price, Quality, Features, Brand value, Availability, Value for money",Satisfied,Very satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,1 year - 3 years,Yes,Yes,4,2,,0,1,1,2,2,2,2,0,2,3,2,1,0,2,2,2
20,Male,Purchased it couple of times,Yes,"TV Commercials, Posters",Positive,"Cheerful, Energetic",About the same,4,Maybe,"Quality, Availability",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,4 years - 6 years,Maybe,Yes,3,3,,3,1,0,0,2,1,2,1,2,2,2,1,1,0,2,2
20,Male,I use it daily,Yes,"TV Commercials, Social Media campaigns",Positive,"Active, Attention getting, Creative",Much better,4,Yes,"Price, Quality, Features",Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,More than 6 years,Yes,Yes,5,2,,2,1,1,2,4,2,3,2,3,3,4,2,3,2,2,2
19,Female,Purchased it couple of times,Yes,TV Commercials,Positive,"Attention getting, Creative",Somewhat better,3,Maybe,"Quality, Value for money",Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,More than 6 years,Maybe,Yes,5,3,,3,0,2,0,2,1,2,1,3,2,1,1,3,0,2,2
20,Female,Purchased it couple of times,Yes,"TV Commercials, Social Media campaigns",Positive,"Active, Clever, Creative, Humorous",Somewhat better,3,Maybe,"Price, Quality, Features, Value for money",Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,4 years - 6 years,Maybe,Maybe,4,5,,3,0,2,0,1,1,2,1,3,2,2,2,1,0,0,2
20,Male,Purchased it couple of times,Yes,"TV Commercials, YouTube Ads",Positive,"Active, Creative, Genuine",Somewhat better,5,Yes,"Quality, Availability, Value for money",Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,More than 6 years,Maybe,Yes,4,4,,3,1,2,2,2,2,3,2,2,3,2,2,3,0,2,2
20,Male,I use it daily,Yes,"TV Commercials, Social Media campaigns, YouTube Ads",Positive,"Active, Attention getting, Cheerful, Clever, Creative, Emotional, Energetic, Genuine, Honest",Much better,4,No,"Quality, Features, Brand value, Value for money",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,More than 6 years,Yes,Yes,5,2,,2,1,1,1,2,1,2,1,2,2,2,1,3,2,2,2
18,Female,I use it daily,Yes,TV Commercials,Positive,Active,Much better,5,Yes,Quality,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Les than 1 year,Yes,Yes,4,4,,2,0,1,2,2,1,3,2,3,3,4,2,2,2,2,2
19,Female,Purchased it couple of times,Yes,TV Commercials,Positive,"Attention getting, Creative",Somewhat better,4,No,"Quality, Features, Brand value, Value for money",Satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,4 years - 6 years,Maybe,Yes,4,4,,3,0,2,1,2,2,2,2,3,3,2,2,1,0,2,2
20,Female,I use it daily,Yes,TV Commercials,Positive,"Creative, Genuine, Colourful",About the same,4,Maybe,"Quality, Availability",Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,More than 6 years,No,Yes,4,4,,2,0,0,0,1,1,2,2,3,2,1,1,3,1,2,2
20,Female,Purchased it couple of times,Maybe,Posters,Positive,"Creative, Emotional, Genuine",Somewhat better,3,Maybe,"Price, Quality, Features",Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,4 years - 6 years,Maybe,Yes,3,4,,3,0,2,0,1,1,2,1,2,1,1,1,1,0,2,0
19,Female,Generally aware of the brand,Yes,YouTube Ads,Positive,"Active, Attention getting, Cheerful",Much better,4,Maybe,"Price, Quality, Features",Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Les than 1 year,Maybe,Maybe,4,4,,0,0,1,0,2,2,3,2,3,3,2,1,2,0,0,2
20,Male,I use it daily,Maybe,YouTube Ads,Positive,"Active, Attention getting, Clever, Creative",Somewhat better,4,No,"Price, Quality",Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,More than 6 years,Yes,Yes,4,2,,2,1,2,1,2,2,3,2,3,3,2,2,3,2,2,0
20,Male,I use it daily,No,YouTube Ads,Positive,"Active, Clever, Energetic, Genuine, Honest",Much better,4,No,Price,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Les than 1 year,No,Maybe,4,3,,2,1,1,1,2,1,2,1,2,2,2,1,2,1,0,1
20,Male,I use it daily,No,YouTube Ads,Positive,"Active, Clever, Energetic, Genuine, Honest",Much better,4,No,Price,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Les than 1 year,No,Maybe,4,3,,2,1,1,1,2,1,2,1,2,2,2,1,2,1,0,1
20,Male,I use it daily,No,YouTube Ads,Positive,"Active, Clever, Energetic, Genuine, Honest",Much better,4,No,Price,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Les than 1 year,No,Maybe,4,3,,2,1,1,1,2,1,2,1,2,2,2,1,2,1,0,1
20,Female,I use it daily,Yes,"YouTube Ads, Posters",Positive,"Creative, Emotional, Memorable",Much better,5,Yes,"Price, Quality, Sales person's recommendation",Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Very satisfied,Satisfied,Satisfied,4 years - 6 years,Yes,Yes,4,2,,2,0,1,2,4,2,3,2,1,3,2,1,1,2,2,2
20,Male,Generally aware of the brand,Maybe,"Social Media campaigns, YouTube Ads",Positive,"Active, Attention getting",About the same,3,Maybe,"Price, Quality",Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,1 year - 3 years,Maybe,Maybe,3,3,,0,1,0,0,2,1,2,0,1,2,1,0,0,0,0,0
21,Male,Purchased it couple of times,Yes,TV Commercials,Positive,Attention getting,Somewhat better,4,Yes,Price,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,1 year - 3 years,Yes,Yes,4,2,,3,1,2,2,4,2,3,2,3,3,4,2,0,2,2,2
21,Male,Purchased it couple of times,Yes,TV Commercials,Positive,Attention getting,Somewhat better,4,Yes,Price,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,1 year - 3 years,Yes,Yes,4,2,,3,1,2,2,4,2,3,2,3,3,4,2,0,2,2,2
21,Female,Purchased it couple of times,Yes,TV Commercials,Positive,Cheerful,Somewhat better,2,Maybe,Quality,Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Very satisfied,4 years - 6 years,No,Maybe,3,3,,3,0,2,0,1,1,2,1,1,1,1,2,1,1,0,2
20,Male,Generally aware of the brand,Maybe,"TV Commercials, Social Media campaigns, Posters",Positive,"Active, Attention getting, Creative",Much better,5,Yes,"Quality, Brand value, Value for money",Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,4 years - 6 years,Maybe,Yes,4,2,,0,1,1,2,2,2,2,1,3,3,2,1,1,0,2,0
19,Female,Purchased it couple of times,Yes,"TV Commercials, YouTube Ads, Posters",Positive,"Cheerful, Creative, Genuine",Somewhat better,5,No,"Price, Quality, Features, Value for money",Dis-satisfied,Satisfied,Satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,Very satisfied,Les than 1 year,No,Maybe,4,5,,3,0,2,1,0,1,2,2,1,1,2,2,2,1,0,2
20,Female,Purchased it couple of times,No,TV Commercials,Positive,Attention getting,Somewhat better,4,Yes,Quality,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,More than 6 years,Yes,Yes,5,1,,3,0,2,2,2,2,2,1,3,2,2,1,3,2,2,1
20,Female,I use it daily,Yes,"TV Commercials, Posters",Positive,"Attention getting, Creative, Emotional",Much better,4,No,"Price, Quality",Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,More than 6 years,Maybe,Yes,2,2,,2,0,1,1,4,2,3,2,3,3,2,2,3,0,2,2
21,Female,I use it daily,Yes,Social Media campaigns,Positive,"Attention getting, Emotional",Somewhat better,4,Maybe,"Quality, Value for money",Neither satisfied nor dis-satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,More than 6 years,Yes,Yes,5,1,,2,0,2,0,1,2,3,2,3,2,2,2,3,2,2,2
19,Male,Generally aware of the brand,Yes,"TV Commercials, Social Media campaigns, YouTube Ads",Positive,Creative,About the same,4,Maybe,"Price, Quality, Value for money",Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Les than 1 year,Maybe,Maybe,3,3,,0,1,0,0,2,2,2,2,2,3,4,1,2,0,0,2
21,Male,Purchased it couple of times,Yes,Social Media campaigns,Positive,"Attention getting, Clever, Emotional, Genuine",Much better,4,Maybe,"Price, Quality, Availability, Value for money",Satisfied,Satisfied,Satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Satisfied,Very satisfied,Satisfied,Les than 1 year,Maybe,Yes,3,3,,3,1,1,0,2,1,2,2,1,2,4,1,2,0,2,2
21,Female,Purchased it couple of times,Maybe,TV Commercials,Positive,"Attention getting, Clever, Genuine",Much better,3,No,"Sales person's recommendation, Availability",Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,More than 6 years,Maybe,Yes,3,4,,3,0,1,1,2,1,2,1,3,3,2,1,3,0,2,0
22,Female,Generally aware of the brand,Maybe,Social Media campaigns,Positive,Boring,Somewhat better,3,Maybe,Value for money,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Les than 1 year,Yes,Yes,5,5,,0,0,2,0,1,0,1,0,1,1,1,0,2,2,2,0
19,Male,I use it daily,Yes,Social Media campaigns,Positive,"Attention getting, Cheerful, Creative, Memorable",Much better,4,Maybe,"Quality, Availability, Value for money",Neither satisfied nor dis-satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,4 years - 6 years,Maybe,Maybe,4,3,,2,1,1,0,1,2,3,2,2,2,2,2,1,0,0,2
20,Male,I use it daily,Yes,"TV Commercials, Back of notebooks ",Positive,Clever,Somewhat better,4,No,"Price, Quality, Features, Brand value, Value for money",Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,4 years - 6 years,Yes,Maybe,5,3,,2,1,2,1,2,2,2,1,3,2,2,1,1,2,0,2
20,Male,I use it daily,Yes,Social Media campaigns,Positive,"Attention getting, Creative, Honest",Much better,4,Yes,"Price, Features, Brand value",Very satisfied,Neither satisfied nor dis-satisfied,Very satisfied,Satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Satisfied,Neither satisfied nor dis-satisfied,4 years - 6 years,Yes,Yes,4,1,,2,1,1,2,4,0,3,1,3,1,2,0,1,2,2,2
20,Male,Generally aware of the brand,Yes,TV Commercials,Positive,Attention getting,About the same,3,Maybe,"Price, Quality, Brand value",Dis-satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,More than 6 years,No,Maybe,3,3,,0,1,0,0,0,2,1,0,1,1,1,1,3,1,0,2
19,Male,I use it daily,Yes,Social Media campaigns,Positive,Boring,About the same,2,No,"Price, Quality, Value for money",Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,4 years - 6 years,No,Yes,2,5,,2,1,0,1,2,1,2,1,3,2,2,1,1,1,2,2
21,Male,I use it daily,Yes,"Social Media campaigns, Posters",Positive,"Active, Creative, Genuine, Honest, Humorous",Somewhat better,4,Yes,"Features, Brand value, Value for money",Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Satisfied,4 years - 6 years,Maybe,Yes,3,3,,2,1,2,2,4,1,3,1,3,3,1,1,1,0,2,2
19,Male,I use it daily,Yes,TV Commercials,Positive,"Attention getting, Genuine",Somewhat better,3,Yes,"Brand value, Value for money",Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,More than 6 years,Maybe,Maybe,3,4,,2,1,2,2,2,2,2,2,2,2,2,1,3,0,0,2
20,Male,Generally aware of the brand,No,Social Media campaigns,Positive,"Attention getting, Clever, Creative",Much better,3,Maybe,"Quality, Availability, Value for money",Neither satisfied nor dis-satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Les than 1 year,Maybe,Maybe,5,2,,0,1,1,0,1,2,3,2,3,3,4,2,2,0,0,1
19,Female,Purchased it couple of times,Yes,TV Commercials,Positive,Boring,Somewhat better,2,No,Value for money,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Les than 1 year,Maybe,No,2,5,,3,0,2,1,2,1,2,1,2,2,2,1,2,0,1,2
20,Male,Generally aware of the brand,Maybe,YouTube Ads,Positive,"Creative, Emotional",Somewhat better,3,Maybe,"Price, Quality, Features",Satisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,1 year - 3 years,Maybe,Yes,3,3,,0,1,2,0,2,1,2,1,1,3,1,0,0,0,2,0
20,Male,I am not aware of the brand,Yes,YouTube Ads,Positive,Creative,Somewhat better,4,Yes,Value for money,Neither satisfied nor dis-satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Les than 1 year,Maybe,Maybe,4,3,,1,1,2,2,1,1,3,1,3,2,2,1,2,0,0,2
20,Female,Generally aware of the brand,Maybe,"TV Commercials, Social Media campaigns, YouTube Ads",Positive,"Attention getting, Creative",Somewhat better,4,Yes,"Price, Quality, Brand value",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,1 year - 3 years,Yes,Maybe,2,2,,0,0,2,2,2,1,2,1,2,2,4,1,0,2,0,0
19,Male,Purchased it couple of times,Yes,"Social Media campaigns, Posters",Positive,"Cheerful, Creative, Emotional, Honest",Somewhat better,4,No,"Quality, Sales person's recommendation, Availability, Value for money",Satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Dis-satisfied,Very Dis-satisfied,Neither satisfied nor dis-satisfied,4 years - 6 years,Maybe,Maybe,4,3,,3,1,2,1,2,2,1,0,1,0,3,0,1,0,0,2
19,Female,Purchased it couple of times,Yes,TV Commercials,Positive,"Attention getting, Cheerful",About the same,3,Maybe,"Price, Quality, Value for money",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,1 year - 3 years,Maybe,Maybe,3,4,,3,0,0,0,2,1,2,1,2,2,1,1,0,0,0,2
21,Female,Purchased it couple of times,Yes,TV Commercials,Positive,Creative,Much better,5,Yes,"Price, Value for money",Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Les than 1 year,Maybe,Yes,3,2,,3,0,1,2,2,2,3,2,3,2,2,1,2,0,2,2
23,Prefer not to say,I am not aware of the brand,Maybe,YouTube Ads,Positive,Attention getting,About the same,3,No,"Price, Quality, Value for money",Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Satisfied,Satisfied,1 year - 3 years,No,No,3,3,,1,2,0,1,1,1,2,0,2,2,2,1,0,1,1,0
21,Male,Purchased it couple of times,Yes,TV Commercials,Positive,"Active, Attention getting",About the same,3,Maybe,"Price, Quality, Features",Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Les than 1 year,Maybe,Yes,4,2,,3,1,0,0,2,1,2,1,3,2,2,0,2,0,2,2
20,Male,Purchased it couple of times,Maybe,"YouTube Ads, Posters",Positive,Boring,About the same,2,Maybe,Quality,Neither satisfied nor dis-satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,4 years - 6 years,Yes,Yes,5,2,,3,1,0,0,1,2,2,1,2,2,1,1,1,2,2,0
22,Male,I use it daily,Maybe,TV Commercials,Positive,"Active, Creative, Honest",Somewhat better,4,No,"Quality, Value for money",Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,Satisfied,More than 6 years,Maybe,Yes,4,2,,2,1,2,1,1,1,2,1,1,1,2,1,3,0,2,0
19,Male,Generally aware of the brand,Yes,"TV Commercials, Social Media campaigns",Positive,"Cheerful, Creative, Energetic",About the same,4,Maybe,"Quality, Brand value, Value for money",Satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,4 years - 6 years,Maybe,Yes,5,3,,0,1,0,0,2,1,2,2,3,2,4,2,1,0,2,2
20,Female,Purchased it couple of times,Yes,TV Commercials,Positive,"Cheerful, Creative, Energetic, Humorous",Somewhat better,4,Yes,"Price, Quality, Features, Brand value, Sales person's recommendation, Availability, Value for money",Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,More than 6 years,No,Yes,5,5,,3,0,2,2,4,2,3,2,3,3,4,2,3,1,2,2
20,Female,I am not aware of the brand,Maybe,Posters,Positive,"Active, Creative, Genuine, Honest",Somewhat better,5,Yes,Quality,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Les than 1 year,Yes,Yes,3,3,,1,0,2,2,2,1,2,0,1,2,1,0,2,2,2,0
20,Female,Purchased it couple of times,Maybe,"TV Commercials, Posters",Positive,Creative,Somewhat better,4,Yes,Quality,Neither satisfied nor dis-satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,More than 6 years,Maybe,Yes,4,3,,3,0,2,2,1,1,2,1,3,2,2,2,3,0,2,0
20,Female,I am not aware of the brand,Yes,TV Commercials,Positive,"Active, Attention getting, Boring, Creative, Genuine",Somewhat better,3,Yes,"Price, Quality, Brand value",Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,4 years - 6 years,Maybe,Maybe,5,2,,1,0,2,2,2,2,2,2,2,2,4,1,1,0,0,2
20,Male,I use it daily,Yes,TV Commercials,Positive,Active,Much better,5,Yes,Sales person's recommendation,Very satisfied,Neither satisfied nor dis-satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Very satisfied,Neither satisfied nor dis-satisfied,1 year - 3 years,Maybe,Yes,5,5,,2,1,1,2,4,0,3,0,3,1,4,0,0,0,2,2
21,Female,Purchased it couple of times,Maybe,YouTube Ads,Positive,Creative,Somewhat better,3,Maybe,"Price, Quality",Neither satisfied nor dis-satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Satisfied,Very satisfied,4 years - 6 years,Maybe,Yes,3,3,,3,0,2,0,1,2,2,2,3,1,2,2,1,0,2,0
21,Female,I am not aware of the brand,No,TV Commercials,Positive,Boring,About the same,2,Yes,Quality,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Les than 1 year,No,No,5,3,,1,0,0,2,2,1,2,1,2,2,2,1,2,1,1,1
20,Female,I use it daily,Yes,TV Commercials,Positive,Genuine,Somewhat better,4,Maybe,"Price, Quality, Availability, Value for money",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Neither satisfied nor dis-satisfied,Satisfied,More than 6 years,No,Maybe,4,2,,2,0,2,0,2,1,2,1,2,3,1,1,3,1,0,2
19,Male,Purchased it couple of times,Yes,TV Commercials,Positive,"Clever, Creative, Emotional, Genuine, Honest",Somewhat better,4,Maybe,"Price, Quality, Features, Brand value, Value for money",Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,1 year - 3 years,Maybe,Yes,5,1,,3,1,2,0,2,2,2,2,2,3,2,2,0,0,2,2
20,Male,I use it daily,Yes,"TV Commercials, Posters",Positive,Genuine,About the same,3,Maybe,"Price, Quality",Satisfied,Satisfied,Dis-satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,More than 6 years,No,Yes,3,2,,2,1,0,0,2,1,0,1,2,2,2,1,3,1,2,2
23,Male,I am not aware of the brand,No,TV Commercials,Positive,"Energetic, Honest",Much better,3,No,"Price, Quality, Brand value, Value for money",Dis-satisfied,Very satisfied,Very satisfied,Very satisfied,Dis-satisfied,Very satisfied,Very satisfied,Satisfied,1 year - 3 years,No,Yes,3,2,,1,1,1,1,0,2,3,2,0,3,4,1,0,1,2,1
20,Male,Generally aware of the brand,Maybe,"YouTube Ads, Posters",Positive,"Attention getting, Memorable",Much better,4,Yes,Price,Very Dis-satisfied,Very satisfied,Satisfied,Neither satisfied nor dis-satisfied,Satisfied,Dis-satisfied,Dis-satisfied,Neither satisfied nor dis-satisfied,More than 6 years,No,Maybe,2,5,,0,1,1,2,3,2,2,0,2,0,0,0,3,1,0,0
19,Male,Purchased it couple of times,Yes,"TV Commercials, Social Media campaigns, YouTube Ads, Posters",Positive,"Cheerful, Clever, Creative, Emotional, Energetic, Genuine",Somewhat better,4,Maybe,"Price, Quality, Brand value, Value for money",Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,More than 6 years,Yes,Yes,4,3,,3,1,2,0,2,2,2,1,2,2,2,1,3,2,2,2
22,Male,Generally aware of the brand,Yes,TV Commercials,Positive,"Attention getting, Emotional",About the same,3,Maybe,"Quality, Features, Value for money",Dis-satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neither satisfied nor dis-satisfied,Neither satisfied nor dis-satisfied,Satisfied,More than 6 years,Maybe,Maybe,3,3,,0,1,0,0,0,1,2,1,2,1,1,1,3,0,0,2
